class,u,g,r,i,z,redshift,ra,dec,cluster
STAR,17.54073,15.83706,15.15225,14.91498,14.82364,0.000236645,288.79091307145427,45.387880606379866,0
STAR,18.44119,17.54684,17.27727,17.1878,17.20361,-0.000114203,26.838231724717495,0.6438413409464658,0
STAR,19.13281,17.80045,17.2643,17.07242,16.98861,0.000186468,355.2792971761862,70.92982893669958,0
STAR,19.42387,18.24594,18.31933,18.40867,18.52614,0.000830783,278.0081169467967,78.541695611681,0
STAR,17.95812,16.9013,16.52805,16.39926,16.37399,-7.66e-05,71.53764535230206,55.326769162648105,0
STAR,16.344,14.85487,14.29812,14.12055,14.08315,-4.79e-05,1.9879621644968637,24.406826761473695,0
GALAXY,19.34314,18.12056,17.55584,17.19446,16.9961,0.08592108,293.5661142437403,-35.33022835358604,0
STAR,17.73398,16.84657,16.57527,16.48237,16.4738,0.000700168,254.46864378514215,86.9300858916398,0
GALAXY,17.37104,15.78487,14.98982,14.58674,14.25872,0.03910941,262.4425804947554,-40.6554899054511,0
GALAXY,19.51073,18.05851,17.59638,17.33996,17.29404,0.03917867,277.6573248069405,-53.52175404172241,0
GALAXY,19.44424,18.23033,17.64066,17.2346,17.04825,0.1273446,26.65607462427253,-10.412259518415098,0
GALAXY,19.11186,17.90859,17.40774,17.19731,17.05761,0.0190457,129.04766227593814,-79.76869727177008,0
GALAXY,18.6673,16.70426,15.81967,15.40313,15.06115,0.05955937,41.7128614290467,86.12900364092235,0
STAR,19.04517,17.87662,17.49664,17.37287,17.33316,6.1e-05,310.71723331521366,15.918040154956472,0
GALAXY,17.94459,16.51015,15.8354,15.40969,15.10252,0.06012432,224.38732565792083,10.25137649955154,0
STAR,17.3725,16.25937,15.88727,15.75644,15.71021,-0.000187248,119.1232889469537,28.043330381949573,0
STAR,16.45379,15.02962,14.56318,14.40143,14.359,-4.96e-05,22.88100610296851,-0.5357434001028025,0
STAR,19.26927,18.24939,17.96535,17.83665,17.80351,0.000899142,111.9536358176384,-84.22856692298251,0
STAR,17.8271,16.23793,15.67866,15.49427,15.41664,-7.84e-05,117.06599592962894,20.21603199127142,0
STAR,17.88776,16.52607,16.03367,15.85057,15.80518,0.000107983,262.6582242017031,38.9112978521575,0
GALAXY,19.58396,17.64963,16.73063,16.29203,15.94702,0.06164807,229.5206896878767,-14.985169087670428,0
GALAXY,18.1781,16.13568,15.28753,14.89827,14.56479,0.06063098,319.39658732747756,46.313202972814736,0
GALAXY,18.38625,16.39808,15.40492,14.88012,14.50048,0.06067357,169.99737305830175,-49.13976611908429,0
GALAXY,18.77188,17.15955,16.35564,15.94145,15.65799,0.0603932,43.053928537788615,-50.170213608086875,0
STAR,16.63374,15.54072,15.18744,15.06259,15.03905,0.000450099,256.7681234002782,-60.94494221623669,0
STAR,17.14849,15.83151,15.35753,15.18887,15.12737,0.000161562,273.88261750208306,-23.04094323795087,0
STAR,16.23113,15.20485,14.95443,14.8674,14.86301,-0.000111743,202.05979112501865,62.46216637003505,0
STAR,18.56268,17.14623,16.5559,16.29699,16.157,0.000657249,277.54818478364194,59.02417118683158,0
STAR,17.47383,16.41803,16.07634,15.96205,15.90247,-0.000287019,177.76641469118067,-21.09164256656932,0
GALAXY,19.38031,18.07652,17.34212,16.86341,16.50079,0.08483262,188.18381857751783,16.041372476442575,0
GALAXY,19.05616,17.70945,16.99192,16.54076,16.26619,0.08539017,153.91476660907787,39.74693696548482,0
GALAXY,18.95158,17.47266,16.70008,16.29777,15.99012,0.1161265,9.150885627874269,-46.58278056695586,0
GALAXY,19.11236,17.92701,17.42347,17.0868,16.83476,0.03869415,38.8409137175896,-59.734604538945526,0
GALAXY,18.86752,17.33773,16.80683,16.55789,16.38996,0.02655639,11.31450684722433,84.97727877821598,0
STAR,18.95785,18.08318,17.78178,17.65689,17.61821,0.00088935,229.10774805496095,21.160316377731338,0
STAR,17.80041,16.46003,15.90095,15.66963,15.53772,0.000386423,113.1681531874776,86.65482993005949,0
STAR,18.76266,17.25724,16.68513,16.47563,16.38993,0.00018398,183.085448819293,-29.203922316198764,0
STAR,16.82701,15.30022,14.73089,14.5436,14.44859,3.98e-05,326.72393061339346,36.54570599534367,0
STAR,19.01558,17.72445,17.18152,16.97813,16.85652,0.000365554,89.74520249359497,-49.93134542257721,0
QSO,17.72604,17.4621,17.24036,17.21479,17.09174,0.9693318,147.73785229282672,-42.98396917069567,0
STAR,18.6769,17.78154,17.52458,17.42232,17.38025,0.000182587,271.99840987549754,2.142381828532322,0
STAR,18.12173,16.84951,16.38322,16.20272,16.10719,0.00023867,82.36733957698408,-32.46873740854718,0
QSO,18.68765,18.61862,18.59058,18.50573,18.31973,2.093151,27.712767538365476,-59.8281185086948,0
STAR,18.82957,17.93844,17.56125,17.39783,17.33559,0.000356511,104.31052304895648,-42.68147364192132,0
STAR,17.56939,16.61339,16.2723,16.13031,16.0821,0.000332482,58.039663411441595,-83.56528899614436,0
GALAXY,19.56237,17.59451,16.7141,16.29138,15.95551,0.08621725,334.69115484332633,36.7962518659476,0
GALAXY,19.56588,18.63518,18.09855,17.7029,17.48965,0.06744873,290.9233366431901,-1.4190017245449127,0
STAR,18.45709,17.05875,16.56312,16.35972,16.28534,0.000291299,228.02535234375244,-73.03624804718538,0
STAR,18.0872,16.64009,16.17627,15.98626,15.92437,6.27e-05,313.72581246757835,-59.09508123687158,0
STAR,18.20489,17.12961,16.79656,16.62952,16.57625,0.000995929,289.32194768368123,-71.54378313972407,0
GALAXY,19.39882,18.3913,17.85607,17.46761,17.32818,0.150701,67.1652211989729,20.266705489657767,0
STAR,17.46669,16.36004,15.87807,15.65679,15.56303,0.000695604,321.321239456392,-73.04213454975113,0
STAR,17.66388,18.01819,18.96769,18.32366,16.18336,5.17e-05,194.16320708963423,45.77081994633889,0
STAR,17.70241,17.84848,18.15799,18.38987,18.71965,5.78e-05,290.6784558590625,-86.30803452232959,0
GALAXY,18.53678,17.96047,17.373,17.21301,17.18247,0.03981317,322.59286797245755,-45.11235816073942,0
STAR,19.28844,17.89368,17.29176,17.05897,16.92672,-0.000138961,114.481250989871,70.32000166054328,0
STAR,17.5803,15.91818,15.3324,15.12888,15.04031,7.93e-05,39.618692829963635,39.3356372620043,0
STAR,17.58302,16.1223,15.61429,15.4367,15.37343,9.74e-05,82.056658515099,-76.86570007337622,0
GALAXY,18.97204,17.9849,17.66618,17.43481,17.32352,0.05151358,153.75880390545228,57.80269880733235,0
STAR,17.07819,15.49603,14.84319,14.54306,14.38931,0.000543499,294.48531573209755,-1.2536781227631335,0
STAR,19.43337,18.54425,18.21197,18.07626,17.99902,0.000586336,309.86300997228363,62.42094489038925,0
STAR,18.30903,17.08338,16.65224,16.48205,16.39475,0.000117847,2.502766991228653,18.133159401070813,0
QSO,18.2861,18.11478,18.14232,18.02426,18.03402,1.741678,183.8690289279237,32.729945765914565,0
STAR,16.67229,15.52946,15.16349,15.04075,15.00277,5.17e-05,150.26796113356045,88.83028087122747,0
STAR,18.04392,16.98619,16.67233,16.54937,16.49476,0.000264481,79.95881176946288,-48.179601733676726,0
STAR,18.85257,17.86745,17.55789,17.43459,17.38357,-5.87e-07,43.15153224012581,22.31020345704991,0
STAR,16.86535,15.81168,15.47238,15.32898,15.27367,0.000274919,121.54146170530606,-7.142149789668295,0
STAR,17.71105,16.34725,15.83003,15.60209,15.47698,-0.00045622,339.4474934085069,-82.89864847391554,0
QSO,19.18404,19.1997,19.1041,18.78402,18.68743,2.006571,116.35305552747188,-87.3952845294843,0
GALAXY,17.80165,16.61996,16.1181,15.85237,15.64157,0.02614697,186.7646238276118,-68.53885599278544,0
GALAXY,18.66761,16.83642,15.95352,15.51473,15.16474,0.03804233,253.08682520226404,26.836513296938666,0
STAR,18.45831,17.09308,16.55146,16.36101,16.27274,0.00038865,130.90665685654582,12.089355824410603,0
STAR,19.45426,17.49314,16.74405,16.50129,16.34002,0.000164115,349.84154977954586,9.617321009470942,0
STAR,17.57672,16.30313,15.82177,15.6353,15.5685,0.000326733,346.48102617916004,-84.26578274491318,0
GALAXY,18.41814,17.17549,16.63656,16.31784,16.1021,0.03836371,90.6416264971311,-5.525460655198728,0
STAR,19.16261,17.45277,16.81324,16.56124,16.44654,7.82e-05,179.00946212125876,76.43210721165514,0
STAR,17.37496,16.06552,15.63478,15.48339,15.42321,5.26e-05,108.31619153403707,-18.433463524083606,0
GALAXY,18.81535,16.69037,15.70883,15.31833,14.85697,0.1074627,102.54257797588834,22.486044561922142,0
STAR,18.02848,16.65369,16.06824,15.82721,15.70943,-3.76e-05,13.279301047631806,50.36736161216584,0
STAR,17.33813,15.96866,15.49672,15.33282,15.27834,-4.71e-05,219.4431602327629,51.10655024553978,0
GALAXY,19.48367,18.1998,17.55522,17.15322,16.93752,0.1045614,180.96444836239013,3.470414831148844,0
STAR,16.52364,15.40187,15.08259,14.97577,14.95088,0.000263051,18.53235044999617,64.43135017242054,0
STAR,16.97457,15.7859,15.32505,15.16091,15.08877,-5.7e-06,100.31272712518012,-19.55194319452555,0
GALAXY,16.75927,15.62012,15.041,14.71669,14.44965,0.02956719,326.97571894799535,69.9647786612637,0
STAR,18.70255,17.71797,17.34371,17.17482,17.1185,2.47e-05,86.24228064011007,-46.75911004880184,0
GALAXY,19.54733,18.17471,17.46927,17.09822,16.84518,0.1097059,52.16215395284031,-39.56104674169721,0
GALAXY,19.20287,16.59277,15.70658,15.25103,14.89744,0.07221484,176.20299369992267,-80.43828764417981,0
GALAXY,19.07784,18.06951,17.70663,17.49811,17.31405,0.03472417,354.83416347981625,53.20473057761092,0
STAR,19.06822,17.80601,17.33803,17.16516,17.09147,-2.66e-05,87.13989774414014,-14.930057478113,0
QSO,18.56313,18.53411,18.38498,18.37235,18.3623,1.257948,241.96879706611628,-48.75900949594817,0
STAR,17.89559,16.71264,16.2921,16.1399,16.07841,7.05e-05,274.1830615183383,-48.277750029015664,0
STAR,19.14528,18.19967,17.89295,17.78337,17.73488,-0.000276482,85.54951583726388,72.25198942126198,0
STAR,19.47595,18.6116,18.52926,18.76056,18.28581,-0.000385041,262.15788550026946,60.10498808298664,0
QSO,19.29275,19.02275,18.92752,18.85194,18.76428,1.971239,132.40192777893117,9.635559364293002,0
GALAXY,17.27438,16.14879,15.72019,15.48375,15.35073,0.03325611,227.6300990136886,20.89994407482979,0
GALAXY,18.9146,17.67455,16.96098,16.57482,16.29057,0.116515,228.0706958739221,-4.621397300947621,0
GALAXY,16.93221,15.56652,14.92086,14.58185,14.3252,0.03717615,192.87888626691304,-19.50002228181441,0
STAR,18.73475,17.79811,17.46425,17.34566,17.29465,0.000255278,32.50431721958699,74.78583861929965,0
GALAXY,19.5796,17.68983,16.74287,16.33313,16.0111,0.1092154,300.7088984121257,-67.38971336634563,0
GALAXY,19.33625,17.34765,16.35417,15.91167,15.58279,0.1087394,115.4808233898249,-14.679577851078976,0
STAR,18.37159,16.28451,15.44592,15.16673,15.01227,-7.05e-05,67.14666374394753,-27.978856562182436,0
STAR,19.28787,17.52747,16.75908,16.41961,16.23461,-4.11e-06,14.67905095971501,-0.3328703547933003,0
STAR,18.44022,18.02603,17.97474,18.0135,18.12117,-5.16e-05,212.72145954776704,-7.626262581868488,0
STAR,19.26163,17.71671,17.12826,16.89513,16.79474,-0.000233312,243.9231702632217,3.40011569719465,0
STAR,18.72794,17.20167,16.65129,16.43697,16.32,-0.000133688,5.971618414028215,-64.81458409914106,0
STAR,19.24336,17.86197,17.30386,17.06635,16.94732,-0.000180286,184.3535009877411,2.365470272389871,0
STAR,19.57003,17.3458,16.40484,16.05693,15.8713,-0.00015097,81.53847907125767,-46.36461350030204,0
STAR,19.49442,17.99958,17.41921,17.21484,17.10793,-0.000134868,232.26220454740195,-56.820357182125576,0
STAR,19.03802,17.42171,16.71644,16.41698,16.23746,7.8e-05,62.77191444179691,-78.32984061848558,0
STAR,18.75202,17.90223,17.58861,17.45896,17.41188,-0.00052212,248.73758571688776,47.27746057610537,0
STAR,19.43955,18.52889,18.24026,18.13412,18.05673,-0.000247798,139.22472466819346,-13.0604542458192,0
STAR,18.7746,17.64604,17.22892,17.07624,17.01672,4.98e-05,337.22279594522445,22.795862996116497,0
STAR,17.98792,16.4793,15.89139,15.68964,15.57897,-9.23e-05,49.507539892557574,40.96680179485381,0
STAR,18.21947,16.94176,16.4855,16.34868,16.28067,9.98e-05,122.78388637809306,32.276999756439636,0
STAR,18.72254,17.38212,16.82234,16.65747,16.55055,-1e-05,40.85046764661207,-5.309870563857189,0
STAR,17.88442,16.96119,16.64287,16.53269,16.48384,3.19e-05,332.8897025802826,-20.178264788688637,0
STAR,18.60544,17.67091,17.41983,17.32616,17.2992,-0.000504086,315.8421672171532,-22.32721626468053,0
STAR,17.59142,16.66143,16.42614,16.34742,16.32363,-0.000743644,92.85898597745602,25.20878344741014,0
GALAXY,17.00244,15.55892,14.93361,14.58515,14.32871,0.02873155,237.5942565723045,-0.9370161104627924,0
STAR,19.51547,18.58734,18.33786,18.23523,18.24343,0.000255486,294.1999920724377,62.843804637931896,0
GALAXY,19.25605,18.11174,17.34868,16.93481,16.68558,0.1098084,199.87229217580645,67.44635717880817,0
STAR,17.52671,16.10266,15.5727,15.35048,15.24569,0.000836224,190.67420820816233,-59.29913195882668,0
STAR,18.04508,16.81564,16.39389,16.24002,16.18995,0.000249663,87.0668247241626,-65.47794272176938,0
STAR,17.43719,16.50009,16.13932,16.01473,15.95873,0.000166582,33.51699641012372,23.47216668647991,0
STAR,16.26559,15.31763,15.03526,14.92372,14.86764,0.000397916,322.99767286319764,-35.7793653487897,0
STAR,17.14242,15.63551,15.02396,14.78998,14.65014,-0.000196452,324.150500578799,-86.65727062228221,0
STAR,18.18575,16.91729,16.98115,17.01807,17.02806,-0.000381969,227.91652461837649,69.95568048533192,0
STAR,19.23104,18.20884,17.89136,17.78259,17.75736,0.000249086,122.05072477753224,-49.15786189611451,0
STAR,19.33756,17.0609,16.05876,15.67662,15.44594,2.57e-05,125.71544686055792,77.27051730344564,0
STAR,18.76614,17.47334,16.93288,16.72206,16.60205,-9.47e-05,261.3440443932862,39.13820115808565,0
STAR,18.2921,17.17186,17.38653,17.5653,17.6834,-0.000177157,322.95969358292774,47.27762818406717,0
STAR,19.37555,18.27386,17.7944,17.60329,17.50417,-0.000211658,319.35111273544226,-53.73693075723112,0
GALAXY,19.37035,17.34262,16.35286,15.924,15.58903,0.1019929,280.7551965087446,-47.84500338897367,0
GALAXY,19.05249,17.03777,16.07633,15.63148,15.31245,0.1015328,231.1313926155436,3.828195688331831,0
STAR,18.20631,16.89692,16.46658,16.31574,16.28902,0.00048813,30.29038739821758,-59.022026523024806,0
STAR,17.63113,16.55926,16.24861,16.14775,16.13221,0.000132041,58.18633707406096,-35.02229531705419,0
STAR,15.99172,14.98865,14.70003,14.64919,14.50626,9.27e-05,323.47950786974855,-32.136753969395194,0
STAR,19.37706,18.44093,18.24528,18.19469,18.17668,0.000452989,218.31446147745237,-61.26661201450246,0
STAR,16.73877,15.68268,15.43654,15.38572,15.40208,0.000128369,3.3109385819866732,-53.06708998887107,0
STAR,16.37119,15.28426,15.05225,14.98734,15.0114,5.72e-05,36.529755431771555,51.93933156148617,0
STAR,19.52481,18.21796,17.68045,17.46177,17.37293,1.72e-05,238.8606368789001,-59.90474618149169,0
STAR,18.6522,17.52927,17.53732,17.58253,17.67018,-0.000242254,1.8221701846387273,-84.87766946809396,0
STAR,16.63293,15.27509,14.61367,14.50841,14.27292,-5.54e-05,57.890898510299515,23.28388967320892,0
STAR,16.14538,15.07947,14.84144,14.77282,14.78681,0.000239212,197.544164171971,85.67696149064099,0
STAR,17.84565,16.82412,16.49827,16.38742,16.35545,0.000146998,249.08227116936956,-30.381513367838153,0
STAR,17.75484,16.59773,16.53687,16.56253,16.61154,-7.06e-06,234.7060534209362,-68.64197342467459,0
STAR,19.3623,18.1918,17.81977,17.69313,17.61249,0.000235469,80.73695140580152,12.669718566155538,0
GALAXY,18.97095,17.07911,16.13754,15.65789,15.34548,0.06836422,256.38451968511293,73.14375799721631,0
STAR,16.48326,15.04494,15.04021,14.29518,14.18345,0.000224322,85.40967149884803,51.131120369126194,0
GALAXY,18.98689,17.09758,16.18773,15.7323,15.46169,0.09046602,117.14389133733638,22.05285631428887,0
STAR,19.42591,18.42443,18.00135,17.79079,17.70945,0.000104138,268.7369058424887,-33.28983061063211,0
STAR,18.58476,17.2945,16.42206,16.27426,15.89856,0.000391139,233.86784365699728,7.538431189719589,0
STAR,19.44881,17.06147,16.09691,15.75754,15.58153,0.000127138,305.72042777790404,-73.57592856523404,0
STAR,19.58554,17.76914,16.91808,16.55439,16.34465,9.15e-05,236.7406412281236,32.210176370520585,0
STAR,19.58684,17.73149,16.96642,16.67645,16.4914,0.00034609,204.59109720076975,40.517283401577146,0
STAR,19.42571,17.78678,17.11364,16.85967,16.67854,0.000182417,33.72291641811329,83.70569212378538,0
STAR,18.36269,16.79013,16.16286,15.91035,15.78032,0.000170339,132.37768910139607,-43.1284754258871,0
STAR,19.11461,17.11108,16.35578,16.07985,15.94747,0.000258839,95.47285236542116,-86.67784457225592,0
STAR,19.25602,17.7522,17.28004,17.11725,17.12696,0.000270987,87.83627161647009,8.20952359688711,0
STAR,18.68312,16.80078,16.12189,15.88605,15.78726,0.000208869,350.28379971088043,37.2222907914266,0
STAR,19.13375,17.84091,17.37001,17.20419,17.1407,0.000275159,141.51518088003374,52.27334565893784,0
STAR,19.41101,17.17151,16.17792,15.78271,15.51502,0.000391232,321.1367598637608,-55.12699205553409,0
STAR,19.17278,17.30439,16.63581,16.43598,16.35109,-6.64e-05,227.20990535901464,-42.88448357333574,0
GALAXY,19.29697,18.08211,17.20792,16.74347,16.43762,0.1272051,286.13206927499346,2.2663665481133393,0
GALAXY,18.71962,17.45311,16.88231,16.54723,16.2756,0.06540032,180.94935351786916,-30.49185420539967,0
GALAXY,19.35342,18.11187,17.45305,17.10616,16.88711,0.07115377,207.68539846548927,64.89206758574011,0
QSO,19.25923,18.84224,18.85939,18.69218,18.76842,0.5894275,177.306369774791,-4.723172327030355,0
STAR,19.57255,18.59834,18.47911,18.45792,18.60459,0.001135097,70.28747560729602,53.92415593836054,0
GALAXY,19.23879,17.49932,16.53521,16.09223,15.76121,0.03969949,260.0827614941419,14.51155688682367,0
STAR,18.67422,17.42511,16.89116,16.67803,16.57392,-0.000143192,101.0780504787081,49.15622549108016,0
GALAXY,18.83577,17.25845,16.54556,16.13434,15.83491,0.07050942,8.753747915323382,-30.11886242454171,0
GALAXY,17.61482,15.69639,14.77024,14.31876,13.95353,0.0307668,232.3700265265804,59.65499194745601,0
QSO,19.41207,18.88776,18.56437,18.58996,18.3926,1.06284,63.75984458653762,-40.57698320081611,0
STAR,18.99412,17.90879,17.46466,17.28111,17.20599,-0.000178635,338.56509036704915,8.29778544059235,0
GALAXY,19.14963,18.00378,17.4657,17.1376,16.90036,0.04402394,343.41428772093144,-51.47871962870264,0
STAR,18.7809,19.0767,19.45117,19.74457,20.02123,0.000609734,329.35118047936146,-4.405226107285202,0
QSO,19.15965,18.91703,18.61517,18.38544,18.42006,1.496161,133.25713209196,-32.728462288433434,0
STAR,17.33854,16.27237,15.90035,15.75182,15.69667,-0.000872277,5.564381950392274,-41.99338248530144,0
GALAXY,19.38219,18.20107,17.8056,17.4992,17.41172,0.06565089,334.1946825315811,84.05730324504674,0
GALAXY,19.2266,17.27751,16.39126,15.95711,15.61498,0.04565,154.14629339423317,-61.18666101238848,0
GALAXY,19.41398,17.29078,16.33702,15.87626,15.48284,0.04462435,347.995734855721,51.718650742331135,0
GALAXY,19.19971,17.22391,16.29199,15.85335,15.48367,0.04954444,346.903191752131,87.1496927069787,0
GALAXY,18.94325,17.02095,16.06735,15.63387,15.28098,0.08937013,307.0834039682496,-86.41773292678599,0
GALAXY,18.88838,17.88406,17.42734,17.12453,16.98339,0.08640119,106.00160114505084,35.8249345275771,0
STAR,19.3652,18.1399,17.65534,17.4715,17.37664,6.53e-05,138.6351822966931,-44.47587499986832,0
GALAXY,19.46207,17.81834,17.01301,16.617,16.31902,0.07104074,306.4092017460685,-82.7121916209052,0
GALAXY,18.34066,16.5023,15.64826,15.26125,14.95627,0.07053274,114.09192185625996,-17.47987578780645,0
GALAXY,18.86362,17.87739,17.46657,17.17367,17.04404,0.06982873,61.017388806993296,78.33920583075749,0
GALAXY,17.7933,16.90408,16.6164,16.30378,16.30438,0.08875664,200.44845448500607,-87.88228301394042,0
